id,user_id,rank,aggregate,calculators_data,is_deleted,created_at
1,12,6,527.308,"[{""id"":1780309650952,""name"":""Chemistry"",""percentile"":100,""hsc"":100,""atar"":100,""units"":2,""aggregateContribution"":100,""exclude"":false,""countedUnits"":2},{""id"":1780309725184,""name"":""Engineering Studies"",""percentile"":100,""hsc"":100,""atar"":100,""units"":2,""aggregateContribution"":100,""exclude"":false,""countedUnits"":2},{""id"":1780309620402,""name"":""Mathematics Extension 1"",""percentile"":87,""hsc"":95.2,""atar"":93.48,""units"":1,""aggregateContribution"":46.74,""exclude"":false,""countedUnits"":1},{""id"":1780309708785,""name"":""Studies of Religion 1-unit"",""percentile"":96,""hsc"":96.8,""atar"":91.92,""units"":1,""aggregateContribution"":45.96,""exclude"":false,""countedUnits"":1},{""id"":1780309693908,""name"":""Mathematics Advanced"",""percentile"":87,""hsc"":93,""atar"":84.2,""units"":2,""aggregateContribution"":84.2,""exclude"":false,""countedUnits"":2},{""id"":1780309669017,""name"":""English Advanced"",""percentile"":75,""hsc"":87,""atar"":77.8,""units"":2,""aggregateContribution"":77.8,""exclude"":false,""countedUnits"":2},{""id"":1780309659880,""name"":""Physics"",""percentile"":67,""hsc"":80.8,""atar"":72.608,""units"":2,""aggregateContribution"":72.608,""exclude"":false,""countedUnits"":2}]",0,20/6/2026 8:49
2,3,17,509.9199993617067,"[{""id"":1781945184094,""name"":""Software Engineering"",""percentile"":100,""hsc"":100,""atar"":100,""units"":2,""aggregateContribution"":100,""exclude"":false,""countedUnits"":2},{""id"":1781945200327,""name"":""Mathematics Extension 1"",""percentile"":85.79881656804733,""hsc"":94.87968441814596,""atar"":93.11163708086785,""units"":1,""aggregateContribution"":46.555818540433926,""exclude"":false,""countedUnits"":1},{""id"":1781945196344,""name"":""English Extension 1"",""percentile"":82.27848101265822,""hsc"":92.97046413502109,""atar"":84.71139240506328,""units"":1,""aggregateContribution"":42.35569620253164,""exclude"":false,""countedUnits"":1},{""id"":1781945179944,""name"":""English Advanced"",""percentile"":87.96296296296296,""hsc"":90.45679012345678,""atar"":84.19506172839506,""units"":2,""aggregateContribution"":84.19506172839506,""exclude"":false,""countedUnits"":2},{""id"":1781945186527,""name"":""Physics"",""percentile"":85.8108108108108,""hsc"":89.04504504504504,""atar"":83.65405405405406,""units"":2,""aggregateContribution"":83.65405405405406,""exclude"":false,""countedUnits"":2},{""id"":1781945193643,""name"":""Mathematics Advanced"",""percentile"":85.79881656804733,""hsc"":92.59960552268244,""atar"":83.55936883629191,""units"":2,""aggregateContribution"":83.55936883629191,""exclude"":false,""countedUnits"":2},{""id"":1781945191694,""name"":""Business Studies"",""percentile"":80,""hsc"":86,""atar"":69.60000000000001,""units"":2,""aggregateContribution"":69.60000000000001,""exclude"":false,""countedUnits"":2}]",0,20/6/2026 8:50
44,4,30,458.6853333333334,"[{""id"":1780618974475,""name"":""Physics"",""percentile"":95,""hsc"":95.5,""atar"":93,""units"":2,""aggregateContribution"":93,""exclude"":false,""countedUnits"":2},{""id"":1780308682779,""name"":""English Extension 1"",""percentile"":94,""hsc"":96.4,""atar"":92.67999999999999,""units"":1,""aggregateContribution"":46.339999999999996,""exclude"":false,""countedUnits"":1},{""id"":1780308746945,""name"":""Mathematics Extension 1"",""percentile"":50,""hsc"":91.4,""atar"":79.4,""units"":1,""aggregateContribution"":39.7,""exclude"":false,""countedUnits"":1},{""id"":1780308662512,""name"":""English Advanced"",""percentile"":78,""hsc"":87.8,""atar"":79.28,""units"":2,""aggregateContribution"":79.28,""exclude"":false,""countedUnits"":2},{""id"":1780308657729,""name"":""Modern History"",""percentile"":85,""hsc"":87.66666666666667,""atar"":74.73333333333333,""units"":2,""aggregateContribution"":74.73333333333333,""exclude"":false,""countedUnits"":2},{""id"":1780308628946,""name"":""Mathematics Advanced"",""percentile"":50,""hsc"":79.2,""atar"":63.8,""units"":2,""aggregateContribution"":63.8,""exclude"":false,""countedUnits"":2},{""id"":1780308635245,""name"":""Chemistry"",""percentile"":34,""hsc"":67.136,""atar"":61.83200000000001,""units"":2,""aggregateContribution"":61.83200000000001,""exclude"":false,""countedUnits"":2}]",0,21/6/2026 12:24
83,84,19,463.9924603174603,"[{""id"":1780311945949,""name"":""Economics"",""percentile"":98.88888888888889,""hsc"":99,""atar"":98.44444444444444,""units"":2,""aggregateContribution"":98.44444444444444,""exclude"":false,""countedUnits"":2},{""id"":1780311961104,""name"":""English Advanced"",""percentile"":98.61111111111111,""hsc"":98.75,""atar"":97.94444444444444,""units"":2,""aggregateContribution"":97.94444444444444,""exclude"":false,""countedUnits"":2},{""id"":1780311919094,""name"":""Business Studies"",""percentile"":97.14285714285714,""hsc"":97.14285714285714,""atar"":93.82857142857142,""units"":2,""aggregateContribution"":93.82857142857142,""exclude"":false,""countedUnits"":2},{""id"":1780312003765,""name"":""Chemistry"",""percentile"":65.625,""hsc"":80.7,""atar"":75.025,""units"":2,""aggregateContribution"":75.025,""exclude"":false,""countedUnits"":2},{""id"":1782184914339,""name"":""Mathematics Extension 1"",""percentile"":41.666666666666664,""hsc"":84.5,""atar"":74.5,""units"":1,""aggregateContribution"":37.25,""exclude"":false,""countedUnits"":1},{""id"":1780311981993,""name"":""Mathematics Advanced"",""percentile"":41.666666666666664,""hsc"":74.33333333333333,""atar"":61.5,""units"":2,""aggregateContribution"":61.5,""exclude"":false,""countedUnits"":2}]",0,25/6/2026 23:48
6,3,1,572.9985829746641,"[{""id"":1781946639120,""name"":""Chemistry"",""percentile"":98.95833333333334,""hsc"":98.95833333333334,""atar"":98.66666666666669,""units"":2,""aggregateContribution"":98.66666666666669,""exclude"":false,""countedUnits"":2},{""id"":1781946869816,""name"":""Physics"",""percentile"":98.31932773109243,""hsc"":98.48739495798318,""atar"":97.6470588235294,""units"":2,""aggregateContribution"":97.6470588235294,""exclude"":false,""countedUnits"":2},{""id"":1781945200327,""name"":""Mathematics Extension 1"",""percentile"":95.26627218934911,""hsc"":98.10650887573965,""atar"":97.3491124260355,""units"":1,""aggregateContribution"":48.67455621301775,""exclude"":false,""countedUnits"":1},{""id"":1781946862618,""name"":""Biology"",""percentile"":98.57142857142858,""hsc"":98.2857142857143,""atar"":97.11428571428574,""units"":2,""aggregateContribution"":97.11428571428574,""exclude"":false,""countedUnits"":2},{""id"":1781945193643,""name"":""Mathematics Advanced"",""percentile"":95.26627218934911,""hsc"":97.15976331360946,""atar"":93.27810650887574,""units"":2,""aggregateContribution"":93.27810650887574,""exclude"":false,""countedUnits"":2},{""id"":1781945196344,""name"":""English Extension 1"",""percentile"":94.30379746835443,""hsc"":96.58227848101266,""atar"":93.0506329113924,""units"":1,""aggregateContribution"":46.5253164556962,""exclude"":false,""countedUnits"":1},{""id"":1781945179944,""name"":""English Advanced"",""percentile"":93.98148148148148,""hsc"":94.58333333333333,""atar"":91.0925925925926,""units"":2,""aggregateContribution"":91.0925925925926,""exclude"":false,""countedUnits"":2}]",0,20/6/2026 9:16
8,45,8,523.655,"[{""id"":1780961368157,""name"":""Mathematics Extension 1"",""percentile"":94.67,""hsc"":97.868,""atar"":97.01520000000001,""units"":1,""aggregateContribution"":48.507600000000004,""exclude"":false,""countedUnits"":1},{""id"":1780961371272,""name"":""Chemistry"",""percentile"":95.83,""hsc"":95.83,""atar"":94.6624,""units"":2,""aggregateContribution"":94.6624,""exclude"":false,""countedUnits"":2},{""id"":1781167022588,""name"":""Mathematics Advanced"",""percentile"":94.67,""hsc"":96.802,""atar"":92.4314,""units"":2,""aggregateContribution"":92.4314,""exclude"":false,""countedUnits"":2},{""id"":1781604120160,""name"":""Physics"",""percentile"":88.24,""hsc"":90.17866666666666,""atar"":85.0144,""units"":2,""aggregateContribution"":85.0144,""exclude"":false,""countedUnits"":2},{""id"":1780960514957,""name"":""English Advanced"",""percentile"":87.96,""hsc"":90.456,""atar"":84.1936,""units"":2,""aggregateContribution"":84.1936,""exclude"":false,""countedUnits"":2},{""id"":1781604118061,""name"":""Engineering Studies"",""percentile"":90.32,""hsc"":89.35199999999999,""atar"":79.86559999999999,""units"":2,""aggregateContribution"":79.86559999999999,""exclude"":false,""countedUnits"":2},{""id"":1781167029255,""name"":""English Extension 1"",""percentile"":63,""hsc"":90.08,""atar"":77.96,""units"":1,""aggregateContribution"":38.98,""exclude"":false,""countedUnits"":1}]",0,20/6/2026 9:25
9,13,41,453.57599999999996,"[{""id"":1780400602774,""name"":""English Advanced"",""percentile"":94,""hsc"":94.6,""atar"":91.12,""units"":2,""aggregateContribution"":91.12,""exclude"":false,""countedUnits"":2},{""id"":1780400593298,""name"":""Chemistry"",""percentile"":90,""hsc"":90,""atar"":87.2,""units"":2,""aggregateContribution"":87.2,""exclude"":false,""countedUnits"":2},{""id"":1780400614574,""name"":""English Extension 1"",""percentile"":78,""hsc"":92.4,""atar"":83,""units"":1,""aggregateContribution"":41.5,""exclude"":false,""countedUnits"":1},{""id"":1780401343005,""name"":""Mathematics Extension 1"",""percentile"":57,""hsc"":91.568,""atar"":82.312,""units"":1,""aggregateContribution"":41.156,""exclude"":false,""countedUnits"":1},{""id"":1780400570993,""name"":""Biology"",""percentile"":86,""hsc"":86.66666666666667,""atar"":77.08,""units"":2,""aggregateContribution"":77.08,""exclude"":false,""countedUnits"":2},{""id"":1781948140494,""name"":""Mathematics Advanced"",""percentile"":57,""hsc"":81.944,""atar"":67.72,""units"":2,""aggregateContribution"":67.72,""exclude"":false,""countedUnits"":2},{""id"":1780400584064,""name"":""Business Studies"",""percentile"":50,""hsc"":75.8,""atar"":47.8,""units"":2,""aggregateContribution"":47.8,""exclude"":false,""countedUnits"":2}]",0,20/6/2026 9:39
11,125,23,489.5133333333334,"[{""id"":1781948521518,""name"":""Mathematics Extension 1"",""percentile"":90,""hsc"":96,""atar"":94.4,""units"":1,""aggregateContribution"":47.2,""exclude"":false,""countedUnits"":1},{""id"":1781948737154,""name"":""Music 2"",""percentile"":90,""hsc"":96,""atar"":89.8,""units"":2,""aggregateContribution"":89.8,""exclude"":false,""countedUnits"":2},{""id"":1781949064540,""name"":""Mathematics Advanced"",""percentile"":90,""hsc"":94,""atar"":85.8,""units"":2,""aggregateContribution"":85.8,""exclude"":false,""countedUnits"":2},{""id"":1781948663389,""name"":""Chemistry"",""percentile"":85,""hsc"":88,""atar"":84.66666666666667,""units"":2,""aggregateContribution"":84.66666666666667,""exclude"":false,""countedUnits"":2},{""id"":1781947940215,""name"":""English Advanced"",""percentile"":80,""hsc"":88.33333333333333,""atar"":80.26666666666667,""units"":2,""aggregateContribution"":80.26666666666667,""exclude"":false,""countedUnits"":2},{""id"":1781948566228,""name"":""Physics"",""percentile"":70,""hsc"":82,""atar"":74.47999999999999,""units"":2,""aggregateContribution"":74.47999999999999,""exclude"":false,""countedUnits"":2},{""id"":1781948691934,""name"":""Studies of Religion 2-unit"",""percentile"":50,""hsc"":77.8,""atar"":54.6,""units"":2,""aggregateContribution"":54.6,""exclude"":false,""countedUnits"":1}]",0,20/6/2026 9:51
12,7,46,438.5099858240826,"[{""id"":1780490205863,""name"":""English Advanced"",""percentile"":100,""hsc"":100,""atar"":100,""units"":2,""aggregateContribution"":100,""exclude"":false,""countedUnits"":2},{""id"":1780490203613,""name"":""English Extension 1"",""percentile"":98.10126582278481,""hsc"":98.86075949367088,""atar"":97.68354430379748,""units"":1,""aggregateContribution"":48.84177215189874,""exclude"":false,""countedUnits"":1},{""id"":1780490210899,""name"":""Mathematics Extension 1"",""percentile"":80.4733727810651,""hsc"":93.45956607495069,""atar"":91.4785009861933,""units"":1,""aggregateContribution"":45.73925049309665,""exclude"":false,""countedUnits"":1},{""id"":1780490208985,""name"":""Mathematics Advanced"",""percentile"":80.4733727810651,""hsc"":90.82445759368836,""atar"":80.71913214990138,""units"":2,""aggregateContribution"":80.71913214990138,""exclude"":false,""countedUnits"":2},{""id"":1780490215759,""name"":""Physics"",""percentile"":28.57142857142857,""hsc"":63.714285714285715,""atar"":56.857142857142854,""units"":2,""aggregateContribution"":56.857142857142854,""exclude"":false,""countedUnits"":2},{""id"":1780490198939,""name"":""Business Studies"",""percentile"":58.33333333333333,""hsc"":78.53333333333333,""atar"":53.599999999999994,""units"":2,""aggregateContribution"":53.599999999999994,""exclude"":false,""countedUnits"":2},{""id"":1780490201699,""name"":""Economics"",""percentile"":10.752688172043012,""hsc"":56.02150537634409,""atar"":52.75268817204301,""units"":2,""aggregateContribution"":52.75268817204301,""exclude"":false,""countedUnits"":2}]",0,20/6/2026 9:53
16,6,9,508.9930790842636,"[{""id"":1780353780944,""name"":""Mathematics Extension 1"",""percentile"":91.71597633136095,""hsc"":96.68639053254438,""atar"":95.36094674556213,""units"":1,""aggregateContribution"":47.680473372781066,""exclude"":false,""countedUnits"":1},{""id"":1780353755789,""name"":""English Extension 1"",""percentile"":94.30379746835443,""hsc"":96.58227848101266,""atar"":93.0506329113924,""units"":1,""aggregateContribution"":46.5253164556962,""exclude"":false,""countedUnits"":1},{""id"":1780353774438,""name"":""Physics"",""percentile"":92.43697478991596,""hsc"":93.19327731092437,""atar"":89.41176470588235,""units"":2,""aggregateContribution"":89.41176470588235,""exclude"":false,""countedUnits"":2},{""id"":1780353778285,""name"":""Mathematics Advanced"",""percentile"":91.71597633136095,""hsc"":95.02958579881657,""atar"":88.23668639053254,""units"":2,""aggregateContribution"":88.23668639053254,""exclude"":false,""countedUnits"":2},{""id"":1780353793716,""name"":""Software Engineering"",""percentile"":90.9090909090909,""hsc"":90,""atar"":82.72727272727272,""units"":2,""aggregateContribution"":82.72727272727272,""exclude"":false,""countedUnits"":2},{""id"":1780353759303,""name"":""English Advanced"",""percentile"":78.24074074074075,""hsc"":87.8641975308642,""atar"":79.39876543209877,""units"":2,""aggregateContribution"":79.39876543209877,""exclude"":false,""countedUnits"":2},{""id"":1780353762732,""name"":""Chemistry"",""percentile"":65.6,""hsc"":80.6912,""atar"":75.0128,""units"":2,""aggregateContribution"":75.0128,""exclude"":false,""countedUnits"":2}]",0,20/6/2026 10:05
